Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
26S proteasome non-ATPase regulatory subunit 14	Psmd14	70.7	1331803.08
26S proteasome non-ATPase regulatory subunit 2	Psmd2	165.29	610251.5
26S proteasome non-ATPase regulatory subunit 3	Psmd3	120.43	760075.06
26S proteasome non-ATPase regulatory subunit 4	Psmd4		803011.16
26S proteasome non-ATPase regulatory subunit 5	Psmd5	35.42	532106.57
26S proteasome non-ATPase regulatory subunit 6	Psmd6	43.39	780025.24
26S proteasome non-ATPase regulatory subunit 7	Psmd7	61.62	1820631.22
26S proteasome non-ATPase regulatory subunit 9	Psmd9	12.06	294882.65
28 kDa heat- and acid-stable phosphoprotein	Pdap1		402818.51
28S ribosomal protein S10, mitochondrial	Mrps10	6.34	64085.19
28S ribosomal protein S11, mitochondrial	Mrps11	19.09	66719.28
28S ribosomal protein S12, mitochondrial	Mrps12	26.92	72447.61
28S ribosomal protein S14, mitochondrial	Mrps14	12.5	159737.54
28S ribosomal protein S15, mitochondrial	Mrps15	29.44	79206.34
28S ribosomal protein S16, mitochondrial	Mrps16	30.07	137949.52
28S ribosomal protein S17, mitochondrial	Mrps17	31.56	405448.74
28S ribosomal protein S18a, mitochondrial	Mrps18a	42.82	19881.57
28S ribosomal protein S18b, mitochondrial	Mrps18b	46.4	107077.19
28S ribosomal protein S18c, mitochondrial	Mrps18c	37.22	9199.57
28S ribosomal protein S2, mitochondrial	Mrps2	20.27	111059.3
28S ribosomal protein S21, mitochondrial	Mrps21	82.13	68656.82
28S ribosomal protein S22, mitochondrial	Mrps22	19.13	76347.21
28S ribosomal protein S23, mitochondrial	Mrps23	27.02	285099.64
28S ribosomal protein S24, mitochondrial	Mrps24	25.15	105776.04
28S ribosomal protein S25, mitochondrial	Mrps25	11.26	168656.05
28S ribosomal protein S26, mitochondrial	Mrps26	31.26	154495.83
28S ribosomal protein S27, mitochondrial	Mrps27	14.7	65538.71
28S ribosomal protein S28, mitochondrial	Mrps28	16.21	188162.18
28S ribosomal protein S29, mitochondrial	Dap3	11.57	246810.53
28S ribosomal protein S30, mitochondrial	Mrps30		67325.14
28S ribosomal protein S31, mitochondrial	Mrps31	5.27	77289.74
28S ribosomal protein S33, mitochondrial	Mrps33		465126.45
28S ribosomal protein S34, mitochondrial	Mrps34	22.86	334899.46
28S ribosomal protein S35, mitochondrial	Mrps35		89744.14
28S ribosomal protein S36, mitochondrial	Mrps36		481435.77
28S ribosomal protein S5, mitochondrial	Mrps5	14.89	91265.63
28S ribosomal protein S6, mitochondrial	Mrps6	67.49	322133.6
28S ribosomal protein S7, mitochondrial	Mrps7	44.6	241211.94
2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	Gcat	4.98	52052.67
2-aminoethanethiol dioxygenase	Ado	11.88	142310.16
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1	Ogfod1	4.72	9177.35
2-oxoglutarate dehydrogenase E1 component, mitochondrial	Ogdh	12.5	106419.5
2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	Bckdha	6.89	8301.17
2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	Bckdhb		17196.5
3'(2'),5'-bisphosphate nucleotidase 1	Bpnt1		164124.51
3,2-trans-enoyl-CoA isomerase, mitochondrial	Dci	26	697798.44
3'-5' exoribonuclease 1	Eri1	9.38	70192.83
3'-5' exoribonuclease CSL4 homolog	Exosc1	14.6	81311.14
39S ribosomal protein L1, mitochondrial	Mrpl1	4	125363.99
39S ribosomal protein L10, mitochondrial	Mrpl10	30.59	58247.54
39S ribosomal protein L11, mitochondrial	Mrpl11	21.72	211350.15
39S ribosomal protein L12, mitochondrial	Mrpl12		506816.81
39S ribosomal protein L13, mitochondrial	Mrpl13	106.34	167513.39
39S ribosomal protein L14, mitochondrial	Mrpl14	42.63	226273.04
39S ribosomal protein L15, mitochondrial	Mrpl15	13.91	135351.03
39S ribosomal protein L16, mitochondrial	Mrpl16	27.56	92584.67
39S ribosomal protein L17, mitochondrial	Mrpl17	14.89	51358.34
39S ribosomal protein L19, mitochondrial	Mrpl19	7.45	64908.04
39S ribosomal protein L2, mitochondrial	Mrpl2	29.47	40988.26
39S ribosomal protein L20, mitochondrial	Mrpl20		67061.68
39S ribosomal protein L21, mitochondrial	Mrpl21	12.56	141635.82
39S ribosomal protein L22, mitochondrial	Mrpl22	32.4	109407.62
39S ribosomal protein L23, mitochondrial	Mrpl23		97488.94
39S ribosomal protein L24, mitochondrial	Mrpl24	25.02	107194.8
39S ribosomal protein L27, mitochondrial	Mrpl27	45.04	285597.09
39S ribosomal protein L28, mitochondrial	Mrpl28	50.71	71918.82
39S ribosomal protein L3, mitochondrial	Mrpl3	30.21	95276.77
39S ribosomal protein L30, mitochondrial	Mrpl30	54.11	40312.75
39S ribosomal protein L32, mitochondrial	Mrpl32	21.26	44664.12
39S ribosomal protein L34, mitochondrial	Mrpl34	13.15	29753.55
39S ribosomal protein L37, mitochondrial	Mrpl37	29.05	80473.53
39S ribosomal protein L38, mitochondrial	Mrpl38	28.07	29445.06
39S ribosomal protein L4, mitochondrial	Mrpl4	26.14	135910.9
39S ribosomal protein L40, mitochondrial	Mrpl40	15.59	76343.82
39S ribosomal protein L41, mitochondrial	Mrpl41	2.77	132059.68
39S ribosomal protein L44, mitochondrial	Mrpl44	9.4	59869.94
39S ribosomal protein L45, mitochondrial	Mrpl45	16.56	61448.35
39S ribosomal protein L46, mitochondrial	Mrpl46	15.58	124819.64
39S ribosomal protein L47, mitochondrial	Mrpl47	15.42	43153.22
39S ribosomal protein L48, mitochondrial	Mrpl48	17.47	74538.11
39S ribosomal protein L49, mitochondrial	Mrpl49	30.04	57008.11
39S ribosomal protein L50, mitochondrial	Mrpl50	12.17	78147.75
39S ribosomal protein L51, mitochondrial	Mrpl51	13.11	59903.18
39S ribosomal protein L52, mitochondrial	Mrpl52	35.76	1213.4
39S ribosomal protein L53, mitochondrial	Mrpl53	33.44	261486.24
39S ribosomal protein L54, mitochondrial	Mrpl54	39.52	19060.87
39S ribosomal protein L55, mitochondrial	Mrpl55	6.98	6006.17
39S ribosomal protein L9, mitochondrial	Mrpl9	37.76	200962.92
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	Ebp	12.58	288268.17
3-hydroxyisobutyrate dehydrogenase, mitochondrial	Hibadh	13.92	121042.64
3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	Hibch	4.55	120762.27
3-ketoacyl-CoA thiolase A, peroxisomal	Acaa1a		292221.19
3-ketoacyl-CoA thiolase, mitochondrial	Acaa2	10.24	139612.13
3-keto-steroid reductase	Hsd17b7	2.61	3880.64
3-phosphoinositide-dependent protein kinase 1	Pdpk1	7.06	2476.95
40 kDa peptidyl-prolyl cis-trans isomerase	Ppid	64.37	2555891.74
40S ribosomal protein S10	Rps10		4610538.06
40S ribosomal protein S12	Rps12		15979133.33
40S ribosomal protein S13	Rps13		7383975.75
40S ribosomal protein S14	Rps14	366.14	16964891.45
40S ribosomal protein S15	Rps15	955.04	5555376.38
40S ribosomal protein S15a	Rps15a	8.93	8975202.8
40S ribosomal protein S17	Rps17		12361892.48
40S ribosomal protein S18	Rps18		12506585.98
40S ribosomal protein S2	Rps2		5529939.88
40S ribosomal protein S20	Rps20	384.72	13995144.28
40S ribosomal protein S21	Rps21	655.95	780928.14
40S ribosomal protein S23	Rps23		7988313.44
40S ribosomal protein S24	Rps24	35.55	5793426.64
40S ribosomal protein S25	Rps25	7.5	13593670.79
40S ribosomal protein S26	Rps26		6567811.31
40S ribosomal protein S27a	Rps27a	12.15	35102180.45
40S ribosomal protein S27-like protein	Rps27l	176.34	1981936.17
40S ribosomal protein S28	Rps28		3472650.67
40S ribosomal protein S29	Rps29	20.04	1829503.75
40S ribosomal protein S3	Rps3	326.55	9833652.75
40S ribosomal protein S30	Fau		4824490.06
40S ribosomal protein S3a	Rps3a	318.8	8761762.12
40S ribosomal protein S4, X isoform	Rps4x		12371788.57
40S ribosomal protein S6	Rps6		5331877.74
40S ribosomal protein S7	Rps7	64.56	13418122.96
40S ribosomal protein S8	Rps8		8573317.23
40S ribosomal protein S9	Rps9	601.39	10804551.27
40S ribosomal protein SA	Rpsa		12836043.97
45 kDa calcium-binding protein	Sdf4		3566.23
4-trimethylaminobutyraldehyde dehydrogenase	Aldh9a1	11.81	199296.43
5'(3')-deoxyribonucleotidase, cytosolic type	Nt5c	27.58	237745.95
5'-3' exoribonuclease 1	Xrn1	4.29	6777.82
5'-3' exoribonuclease 2	Xrn2	33.45	81569
55 kDa erythrocyte membrane protein	Mpp1	33.9	183760.95
5'-AMP-activated protein kinase catalytic subunit alpha-1	Prkaa1	17.73	125107.75
5'-AMP-activated protein kinase subunit beta-1	Prkab1	19.32	96617.76
5'-AMP-activated protein kinase subunit gamma-1	Prkag1		261444.36
5-azacytidine induced 1	Azi1		1229.05
5'-nucleotidase domain containing 2	Nt5dc2	45.09	28924.25
5'-nucleotidase domain-containing protein 3	Nt5dc3	9.31	26893.26
6.8 kDa mitochondrial proteolipid	Mp68	88.99	171024.15
60 kDa heat shock protein, mitochondrial	Hspd1	261.27	11717521.65
60 kDa SS-A/Ro ribonucleoprotein	Trove2	5.53	110721.7
60S acidic ribosomal protein P0	Rplp0	1287.01	8747135.8
60S acidic ribosomal protein P1	Rplp1	1751.64	4944502.72
60S acidic ribosomal protein P2	Rplp2		11156868
60S ribosomal export protein NMD3	Nmd3	32.16	10859.9
60S ribosomal protein L10	Rpl10		12740769.48
60S ribosomal protein L11	Rpl11		7102198.97
60S ribosomal protein L12	Rpl12		6309927.5
60S ribosomal protein L13	Rpl13		12899227.82
60S ribosomal protein L13a	Rpl13a	395.54	6261029.29
60S ribosomal protein L14	Rpl14		5768833.79
60S ribosomal protein L15	Rpl15	7.53	4397646.12
60S ribosomal protein L17	Rpl17		3134460.96
60S ribosomal protein L18	Rpl18	530.68	17394591.77
60S ribosomal protein L18a	Rpl18a	18.45	4672500.18
60S ribosomal protein L19	Rpl19		8895696.63
60S ribosomal protein L22	Rpl22		9648605.5
60S ribosomal protein L22-like 1	Rpl22l1	47.47	348572.54
60S ribosomal protein L23	Rpl23	120.43	7731091.06
60S ribosomal protein L23a	Rpl23a		9829449.14
60S ribosomal protein L26	Rpl26	777.74	10040376.38
60S ribosomal protein L27	Rpl27		12377691.84
60S ribosomal protein L28	Rpl28		6306729.19
60S ribosomal protein L29	Rpl29		5369573.64
60S ribosomal protein L30	Rpl30	1275.38	6718444.29
60S ribosomal protein L31	Rpl31	10.69	7930274.39
60S ribosomal protein L32	Rpl32	904.49	11125489.66
60S ribosomal protein L34	Rpl34		4479656.08
60S ribosomal protein L35	Rpl35		9957550.33
60S ribosomal protein L35a	Rpl35a		2418795.34
60S ribosomal protein L36	Rpl36		7709730.36
60S ribosomal protein L36a	Rpl36a		3076176.5
60S ribosomal protein L37a	Rpl37a		652569.34
60S ribosomal protein L38	Rpl38	30.56	7627373.59
60S ribosomal protein L4	Rpl4	547.3	5621565.8
60S ribosomal protein L5	Rpl5		6039259.19
60S ribosomal protein L6	Rpl6	147.71	9751725.94
60S ribosomal protein L7	Rpl7		9633487.49
60S ribosomal protein L7a	Rpl7a		12777700.53
60S ribosomal protein L7-like 1	Rpl7l1	43.59	713379.36
60S ribosomal protein L8	Rpl8	2099.48	12482922.35
60S ribosomal protein L9	Rpl9		6141632.94
60S ribosome subunit biogenesis protein NIP7 homolog	Nip7	17.6	667868.91
6-phosphofructokinase, muscle type	Pfkm		67547.46
6-phosphogluconate dehydrogenase, decarboxylating	Pgd	92.31	1795297.68
6-phosphogluconolactonase	Pgls	21.36	541424.81
7,8-dihydro-8-oxoguanine triphosphatase	Nudt1	12.55	17205.74
78 kDa glucose-regulated protein	Hspa5	266.15	6981396.76
7SK snRNA methylphosphate capping enzyme	Mepce	16.32	17447.02
A disintegrin and metallopeptidase domain 10	Adam10	22.92	7081.13
A kinase (PRKA) anchor protein 2	Akap2	15.69	8949.6
A kinase anchor protein 1, mitochondrial	Akap1	22.63	15667.77
Abhydrolase domain-containing protein 1	Abhd1	15.65	23230.35
Abhydrolase domain-containing protein 10, mitochondrial	Abhd10	3.2	21559.01
Abhydrolase domain-containing protein 14B	Abhd14b	5.33	76035.24
Abl interactor 1	Abi1	28.82	69866.55
Acetoacetyl-CoA synthetase	Aacs	22.01	223568.41
Acetolactate synthase-like protein	Ilvbl	11.51	20556.97
Acetyl-CoA acetyltransferase, cytosolic	Acat2	27.49	1173252.47
Acetyl-CoA acetyltransferase, mitochondrial	Acat1	13.34	747616.86
Acetyl-CoA carboxylase 1	Acaca	15.08	54505.94
Acetyl-coenzyme A transporter 1	Slc33a1	7.01	1302285.82
Acid ceramidase	Asah1	17.66	41114.5
Acidic fibroblast growth factor intracellular-binding protein	Fibp	27.71	3874.71
Acidic leucine-rich nuclear phosphoprotein 32 family member A	Anp32a	21.03	2717914.28
Acidic leucine-rich nuclear phosphoprotein 32 family member B	Anp32b	242.2	2062213.82
Acidic leucine-rich nuclear phosphoprotein 32 family member E	Anp32e	34.06	1009592.65
Aconitate hydratase, mitochondrial	Aco2	79.83	729021.76
Acp1 protein	Acp1	2.81	13052.91
Actin, aortic smooth muscle	Acta2	205.06	6923030.95
Actin, cytoplasmic 1	Actb	2397.59	99927848.13
Actin-binding LIM protein 1	Ablim1	5.51	674.82
Actin-binding protein anillin	Anln	38.07	79035.31
Actinin alpha 2	Actn2		1850.42
Actin-like protein 6A	Actl6a	43.55	373575.66
Actin-related protein 2	Actr2	42.71	851705.77
Actin-related protein 2/3 complex subunit 1A	Arpc1a		3002.09
Actin-related protein 2/3 complex subunit 1B	Arpc1b		667682.7
Actin-related protein 2/3 complex subunit 2	Arpc2	86.46	1514377.63
Actin-related protein 2/3 complex subunit 3	Arpc3	87.94	1065554.65
Actin-related protein 2/3 complex subunit 4	Arpc4	50.75	3156745.09
Actin-related protein 2/3 complex subunit 5	Arpc5	60.98	498748.27
Actin-related protein 2/3 complex subunit 5-like protein	Arpc5l	24.6	270460.77
Actin-related protein 3	Actr3	129.46	1433845.73
Actin-related protein 6	Actr6	3.34	4823.37
Activated RNA polymerase II transcriptional coactivator p15	Sub1	10.52	1216135.03
Activating signal cointegrator 1	Trip4	1.95	2010.64
Activating signal cointegrator 1 complex subunit 1	Ascc1	9.34	6822.82
Activating signal cointegrator 1 complex subunit 2	Ascc2	14.93	2898.84
Activating transcription factor 7-interacting protein 1	Atf7ip	10.13	1258.76
Activator of 90 kDa heat shock protein ATPase homolog 1	Ahsa1	106.4	738484.05
Activator of 90 kDa heat shock protein ATPase homolog 2	Ahsa2	13.96	59452.2
Activator of basal transcription 1	Abt1	4.8	58731.14
Active breakpoint cluster region-related protein	Abr	32.58	22887.36
Active regulator of SIRT1	Rps19bp1	57.07	185527.32
Activity-dependent neuroprotector homeobox protein	Adnp	15.68	12182.67
Acyl carrier protein, mitochondrial	Ndufab1	11.53	62631.12
Acyl-CoA dehydrogenase family member 11	Acad11	2.6	1813.58
Acyl-CoA desaturase 2	Scd2	48.24	39684.8
Acyl-CoA synthetase family member 2, mitochondrial	Acsf2	3.63	164994.66
Acyl-CoA synthetase long-chain family member 3	Acsl3	4.68	3685
Acyl-CoA synthetase long-chain family member 4	Acsl4	15.48	36154.94
Acyl-CoA-binding domain-containing protein 5	Acbd5	7.23	10227.52
Acyl-CoA-binding domain-containing protein 6	Acbd6	16.32	23697.93
Acyl-CoA-binding protein	Dbi	63.47	356214.78
Acyl-coenzyme A thioesterase 9, mitochondrial	Acot9	47.51	746371.11
Acylphosphatase	Acyp2	4.04	1402.85
Acyl-protein thioesterase 1	Lypla1	14.92	262810.17
Acyl-protein thioesterase 2	Lypla2	19.69	123701.39
Adaptin ear-binding coat-associated protein 1	Necap1	10.66	27757.86
Adaptin ear-binding coat-associated protein 2	Necap2	12.45	20116.78
Adaptor-related protein complex AP-4, beta 1	Ap4b1	6.58	192.83
Adenine phosphoribosyl transferase	Aprt	96.3	1386644.63
Adenosine 3'-phospho 5'-phosphosulfate transporter 1	Slc35b2	19.52	3832.02
Adenosine kinase	Adk	12.3	128071.1
Adenosine monophosphate deaminase 2 (Isoform L)	Ampd2	35.79	75541
Adenosylhomocysteinase	Ahcy	14.34	2080255.14
Adenylate kinase 2, mitochondrial	Ak2	56.55	1464580.55
Adenylate kinase isoenzyme 1	Ak1	35.05	484569.18
Adenylate kinase isoenzyme 4, mitochondrial	Ak3l1	5.45	133510.17
Adenylosuccinate synthetase isozyme 2	Adss	27.44	227500.44
Adenylyl cyclase-associated protein 1	Cap1	131.99	1640030.03
Adenylyltransferase and sulfurtransferase MOCS3	Mocs3	2.12	122751.23
Adipocyte enhancer-binding protein 1	Aebp1	89.89	2138.84
Adipocyte plasma membrane-associated protein	Apmap	11.03	64414.05
ADP/ATP translocase 1	Slc25a4	157.58	916021.11
ADP/ATP translocase 2	Slc25a5	321.74	9047759.05
ADP-dependent glucokinase	Adpgk	9.21	40534.96
ADP-ribose pyrophosphatase, mitochondrial	Nudt9	27.33	65717.83
ADP-ribosylation factor 1	Arf1	117.28	5636938.79
ADP-ribosylation factor 4	Arf4	38.92	54210.81
ADP-ribosylation factor 5	Arf5	60.34	453854.45
ADP-ribosylation factor 6	Arf6	28.7	384958.79
ADP-ribosylation factor GTPase-activating protein 1	Arfgap1		60496.5
ADP-ribosylation factor GTPase-activating protein 2	Arfgap2	14.75	46622.37
ADP-ribosylation factor GTPase-activating protein 3	Arfgap3	9.81	17986.17
ADp-ribosylation factor guanine nucleotide-exchange factor 2 (Brefeldin A-inhibited)	Arfgef2	7.15	9372.8
ADP-ribosylation factor-binding protein GGA1	Gga1	21.91	33773.19
ADP-ribosylation factor-binding protein GGA2	Gga2	7.92	3703.22
ADP-ribosylation factor-like protein 1	Arl1	65.22	483758.54
ADP-ribosylation factor-like protein 15	Arl15		8280.99
ADP-ribosylation factor-like protein 2	Arl2	17.1	154039.67
ADP-ribosylation factor-like protein 3	Arl3	16.64	138334.43
ADP-ribosylation factor-like protein 4C	Arl4c		3539.89
ADP-ribosylation factor-like protein 6	Arl6	4.28	109184.73
ADP-ribosylation factor-like protein 8A	Arl8a	14.89	48091.74
ADP-ribosylation factor-like protein 8B	Arl8b	21.89	905697.25
ADP-ribosylation factor-related protein 1	Arfrp1		25334.87
ADP-sugar pyrophosphatase	Nudt5	30.96	988427.87
Adrenodoxin, mitochondrial	Fdx1	12.75	20675.36
Afadin	Mllt4	18.47	49208.11
AFG3-like protein 1	Afg3l1		883.3
AFG3-like protein 2	Afg3l2	16.86	33597.96
Aftiphilin	Aftph	12.13	740.44
AH receptor-interacting protein	Aip	50.07	195515.23
AHNAK nucleoprotein 2	Ahnak2		39267
Ahnak protein	Ahnak	57.69	826390.29
AIG2-like domain-containing protein 1	a2ld1		49325.97
Aim1 protein	Aim1	3.85	1334.12
A-kinase anchor protein 8	Akap8	25.18	51008.17
A-kinase anchor protein 9	Akap9	4.87	7525.85
Akirin-2	Akirin2	20.11	7993.84
Akt1 protein	Akt1	88.15	26044.01
AKT-interacting protein	Aktip	3.98	3342.09
Aladin	Aaas		178755.46
Alanyl-tRNA synthetase domain containing 1	Aarsd1	17.39	46304.81
Alanyl-tRNA synthetase, cytoplasmic	Aars	45.23	360916
Alba-like protein C9orf23 homolog	2810432D09Rik	14.75	95901.97
Alcohol dehydrogenase [NADP+]	Akr1a1	201.52	1339735.14
Alcohol dehydrogenase class 4 mu/sigma chain	Adh7	19.88	152567.17
Alcohol dehydrogenase class-3	Adh5	56.22	394469.67
Aldehyde dehydrogenase family 3, subfamily A2	Aldh3a2	8.37	45473.75
Aldehyde dehydrogenase, mitochondrial	Aldh2	17.27	273162.95
Aldo-keto reductase family 1 member C13	Akr1c13	22.63	468943.06
Aldo-keto reductase family 1, member C12	Akr1c12	9.96	4561.92
Aldo-keto reductase family 7, member A5 (Aflatoxin aldehyde reductase)	Akr7a5	7.63	90781.94
Aldose reductase	Akr1b1		5632009.1
Aldose reductase-related protein 2	Akr1b8	37.82	678958.91
Alkylated DNA repair protein alkB homolog 5	Alkbh5	14.43	12186.52
Alkylated DNA repair protein alkB homolog 6	Alkbh6	7.55	8253.93
Alkylated DNA repair protein alkB homolog 8	Alkbh8	5.7	1149.82
Alkylglycerone phosphate synthase	Agps	12.11	98091.87
Allograft inflammatory factor 1-like	Aif1l		4428.98
Alpha-1,3-mannosyltransferase ALG2	Alg2	9.49	47876.11
Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Mgat2	18.17	10596.87
Alpha-2-macroglobulin receptor-associated protein	Lrpap1	11.89	127220.95
Alpha-2-macroglobulin-P	A2mp		14779.75
Alpha-actinin-1	Actn1	141.94	1207358.78
Alpha-actinin-4	Actn4	120.56	1845419.76
Alpha-adducin	Add1	18.86	4568.48
Alpha-catulin	Ctnnal1	5.1	997.22
Alpha-centractin	Actr1a	41.4	660783.83
Alpha-crystallin B chain	Cryab	65.79	575429.03
Alpha-enolase	Eno1		18684722.67
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Alkbh3	19.49	17559.14
Alpha-methylacyl-CoA racemase	Amacr	2.76	75654.38
Alpha-parvin	Parva	57.43	193536.35
Alpha-soluble NSF attachment protein	Napa	27.69	366092.48
Alpha-taxilin	Txlna	21.54	131183.11
Alsin	Als2	4.62	306.08
Alstrom syndrome protein 1 homolog	Alms1	3.47	471.91
Amine oxidase (Flavin containing) domain 2	Aof2	24.89	14464.28
Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	Aimp1	53.52	1108604.37
Aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	Aimp2		738435.34
Aminoacylase-1	Acy1	10.15	113745.16
Aminopeptidase B	Rnpep	6.6	31959.66
Amino-terminal enhancer of split	Aes	55.66	21318.6
AMP deaminase 3	Ampd3	11.37	21655.65
Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	Apbb1ip	14	2078.7
Amyloid beta A4 precursor protein-binding family B member 2	Apbb2	12.89	1317.69
Amyloid protein-binding protein 2	Appbp2	22.95	5607.06
Anamorsin	Ciapin1	9.85	142927.48
Anaphase promoting complex subunit 1	Anapc1	20.27	8486.13
Anaphase-promoting complex subunit 10	Anapc10		16004.03
Anaphase-promoting complex subunit 2	Anapc2	18.92	8436.15
Anaphase-promoting complex subunit 4	Anapc4	30.49	10376.38
Anaphase-promoting complex subunit 5	Anapc5	81.14	6521.46
Anaphase-promoting complex subunit 7	Anapc7	23.69	46705.44
Ancient ubiquitous protein 1	Aup1	60.37	43426.83
Angiomotin like 2	Amotl2	72.41	2773.05
Angiopoietin-like 2	Angptl2	39.44	1442.61
Ankhd1 protein	Ankhd1	5.74	1629.66
Ankrd11 protein	Ankrd11		4275.52
Ankrd12 protein	Ankrd12	1.6	9658.15
Ankycorbin	Rai14	8.15	15958.73
Ankyrin repeat and FYVE domain containing 1	Ankfy1	17.75	73426.32
Ankyrin repeat and IBR domain-containing protein 1	Ankib1	19.08	1016.61
Ankyrin repeat and LEM domain-containing protein 2	Ankle2	8.7	3319.36
Ankyrin repeat and MYND domain-containing protein 2	Ankmy2	6.83	15359.74
Ankyrin repeat and SAM domain containing 1	Anks1	2.75	675.69
Ankyrin repeat and SOCS box protein 6	Asb6	18.19	13533.29
Ankyrin repeat domain-containing protein 13A	Ankrd13a	27.3	2561.94
Ankyrin repeat domain-containing protein 17	Ankrd17	23.39	24783.2
Ankyrin repeat domain-containing protein 46	Ankrd46	14.02	48244.01
Ankyrin repeat domain-containing protein 49	Ankrd49	7.18	2565.92
Ankyrin repeat domain-containing protein 57	Ankrd57	3.3	12942.44
Ankyrin-2	Ank2	2.95	1676.12
Ankyrin-2	Ank2		28572.53
Annexin A1	Anxa1	171.56	7333558.46
Annexin A11	Anxa11	10.56	170564.97
Annexin A2	Anxa2	626.16	23764049.6
Annexin A5	Anxa5	142.09	5757353.68
Annexin A6	Anxa6	30.48	534673.14
Annexin A8	Anxa8	14.34	141853.06
Anoctamin-6	Ano6		21669.51
Antigen containing epitope to monoclonal antibody MMS-85/12	A230054D04Rik	8.29	2800.75
Antigen peptide transporter 1	Tap1	3.33	5669.03
Antigen peptide transporter 2	Tap2	17.13	822.64
AP-1 complex subunit mu-1	Ap1m1	25.53	48999.6
AP-1 complex subunit sigma-1A	Ap1s1	96.7	103672.31
AP-1 complex subunit sigma-2	Ap1s2	2.38	13714.11
AP1 subunit gamma-binding protein 1	Ap1gbp1	3.35	1331.83
AP-2 complex subunit alpha-1	Ap2a1	35.85	53284.85
AP-2 complex subunit beta-1	Ap2b1	27.1	370218.1
AP-2 complex subunit mu-1	Ap2m1	59.72	318122.21
AP-2 complex subunit sigma-1	Ap2s1	96.03	1671033.63
AP2-associated protein kinase 1	Aak1	4.12	29130.01
AP-3 complex subunit beta-1	Ap3b1	14.29	45153.01
AP-3 complex subunit delta-1	Ap3d1	21.77	29713.42
AP-3 complex subunit mu-1	Ap3m1	2.94	34353.53
AP-3 complex subunit sigma-1	Ap3s1		110730.32
APAF1-interacting protein	Apip	15.55	80584.35
Apolipoprotein A-I-binding protein	Apoa1bp	33.7	393707.93
Apolipoprotein B-100 receptor	Apob48r	7.55	9898.05
Apolipoprotein O	Apoo		136477.52
Apolipoprotein O-like	Apool	7.07	107983.77
